rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,linedress,linedressed,problems,smooth,distraction,strategies,easier,similar,comments
null,,prac_atten_color_black,87843,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,88493,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
123,,prac_atten_color_black,90503,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,91278,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,92016,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
544,,prac_atten_color_black,94028,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,94709,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,95422,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
201,,prac_atten_color_black,97437,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,98134,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,98612,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,100613,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
1482,,attentioncheck_help,102097,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,103029,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,103461,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
563,,prac_atten_color_black,105476,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,106452,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,107226,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
318,,prac_atten_color_black,109234,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,109867,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,110940,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
69,,prac_atten_color_black,112955,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,113293,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
530,,prac_atten_color,113988,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,115997,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,116728,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
599,,prac_atten_color,117705,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,119718,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
2706,,attentioncheck_feedback,122427,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,,,,,
7525,,last_instruct,129953,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),131964,black_plus_sign,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),132414,blue,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,132927,blue,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
775,,rt_thecrossant_black,134494,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,134602,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),136617,black_plus_sign,,,,null,GW/camera.jpg,GW/snail.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),137037,blue,,,,null,GW/camera.jpg,GW/snail.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,137549,blue,,,,null,GW/camera.jpg,GW/snail.jpg,,,,,,,,,,,,,,,,,,,,,
909,,rt_thecrossant_black,139157,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,139266,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),141272,black_plus_sign,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),141861,green,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,142372,green,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
543,,rt_thecrossant_black,143800,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,143908,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),145924,black_plus_sign,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),146433,green,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,146942,green,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
705,,rt_thecrossant_black,148478,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,148587,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),150596,black_plus_sign,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),151136,green,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,,,,,,,,,,
497,,rt_plussign_withcolor,151646,green,,,,50,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,153113,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,153221,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),155232,black_plus_sign,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),155903,green,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,156413,green,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,,,,,
720,,rt_thecrossant_black,157759,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,157868,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),159876,black_plus_sign,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),160433,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,160945,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
861,,rt_thecrossant_black,162419,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,162528,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),164538,black_plus_sign,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),165421,green,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,165934,green,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
658,,rt_thecrossant_black,167067,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,167176,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),169190,black_plus_sign,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),169747,green,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
420,,rt_plussign_withcolor,170256,green,,,,50,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,171713,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,171822,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),173832,black_plus_sign,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),174746,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
469,,rt_plussign_withcolor,175261,blue,,,,49,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,176359,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,176468,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),178471,black_plus_sign,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),179104,green,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,179615,green,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
1034,,rt_thecrossant_black,181010,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,181119,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),183130,black_plus_sign,,,,null,GW/hat.jpg,GW/barrel.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),183579,blue,,,,null,GW/hat.jpg,GW/barrel.jpg,,,,,,,,,,,,,,,,,,,,,
484,,rt_plussign_withcolor,184092,blue,,,,49,GW/hat.jpg,GW/barrel.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,185658,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,185766,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),187770,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),188250,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,188764,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
583,,rt_thecrossant_black,190302,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,190410,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),192425,black_plus_sign,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),192872,blue,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,193384,blue,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
629,,rt_thecrossant_black,194954,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,195062,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),197079,black_plus_sign,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),197948,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,198459,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
583,,rt_thecrossant_black,199621,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,199728,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),201741,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),202659,green,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,203171,green,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
1208,,rt_thecrossant_black,204268,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,204377,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),206391,black_plus_sign,,,,null,GW/basket.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),207133,blue,,,,null,GW/basket.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,207646,blue,,,,null,GW/basket.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,,,,,
1143,,rt_thecrossant_black,208936,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,209044,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),211051,black_plus_sign,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),212090,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,212600,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,
946,,rt_thecrossant_black,213575,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,213683,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),215695,black_plus_sign,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),216221,green,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
483,,rt_plussign_withcolor,216731,green,,,,50,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,218228,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,218336,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),220348,black_plus_sign,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),221245,green,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,221756,green,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
702,,rt_thecrossant_black,222877,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,222986,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),225002,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),225792,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,226302,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,,,,,
1025,,rt_thecrossant_black,227541,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,227649,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),229665,black_plus_sign,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),230425,blue,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
407,,rt_plussign_withcolor,230936,blue,,,,49,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,232189,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,232297,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),234310,black_plus_sign,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),235130,blue,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,235641,blue,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
911,,rt_thecrossant_black,236867,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,236975,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),238981,black_plus_sign,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),239804,blue,,,,null,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
483,,rt_plussign_withcolor,240314,blue,,,,49,GW/jukebox.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,241520,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,241627,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),243661,black_plus_sign,,,,null,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),244221,green,,,,null,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,244733,green,,,,null,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
971,,rt_thecrossant_black,246192,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,246299,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),248301,black_plus_sign,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),248905,green,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,249414,green,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
818,,rt_thecrossant_black,250835,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,250943,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),252958,black_plus_sign,,,,null,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),253499,green,,,,null,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
507,,rt_plussign_withcolor,254009,green,,,,50,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,255482,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,255590,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),257601,black_plus_sign,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),258510,green,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,259023,green,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
687,,rt_thecrossant_black,260124,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,260234,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),262249,black_plus_sign,,,,null,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),262990,blue,,,,null,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
513,,rt_plussign_withcolor,263504,blue,,,,49,GW/gong.jpg,GW/paint.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,264788,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,264895,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),266906,black_plus_sign,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),267757,green,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
442,,rt_plussign_withcolor,268265,green,,,,50,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,269425,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,269533,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),271549,black_plus_sign,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),272324,blue,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,272836,blue,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,274089,black_plus_sign,,,,null,,,,1,,,,,,,,,,,,,,,,,,,
null,,color_black,274196,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),276210,black_plus_sign,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),277075,blue,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,277587,blue,,,,null,GW/globe.jpg,GW/dustpan.jpg,,,,,,,,,,,,,,,,,,,,,
888,,rt_thecrossant_black,278748,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,278857,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),280869,black_plus_sign,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),281383,blue,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
497,,rt_plussign_withcolor,281895,blue,,,,49,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,283397,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,283506,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),285520,black_plus_sign,,,,null,GW/camera.jpg,GW/snail.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),286434,green,,,,null,GW/camera.jpg,GW/snail.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,286945,green,,,,null,GW/camera.jpg,GW/snail.jpg,,,,,,,,,,,,,,,,,,,,,
703,,rt_thecrossant_black,288046,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,288156,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),290169,black_plus_sign,,,,null,GW/gong.jpg,GW/basket.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),291164,green,,,,null,GW/gong.jpg,GW/basket.jpg,,,,,,,,,,,,,,,,,,,,,
442,,rt_plussign_withcolor,291676,green,,,,50,GW/gong.jpg,GW/basket.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,292699,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,292808,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),294818,black_plus_sign,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),295594,blue,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,296103,blue,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,,,,,,,,,,
1276,,rt_thecrossant_black,297341,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,color_black,297446,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),299462,black_plus_sign,,,,null,GW/barrel.jpg,GW/jukebox.jpg,,,,,,,,,,,,,,,,,,,,,
