rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,problems,smooth,distraction,strategies,easier,similar,comments
3198,,intro_2,135688,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
38544,,intro_3,174233,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,175051,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,175636,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,177638,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
4204,,attentioncheck_help,181843,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,182661,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
427.8999996185303,,prac_atten_color,183179,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
207.89999961853027,,prac_atten_color_black,185181,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,186072,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
554.0999999046326,,prac_atten_color,186704,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,188706,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,189480,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
421.3999996185303,,prac_atten_color,190087,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,192089,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,192885,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,193329,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
77.19999980926514,,prac_atten_color_black,195332,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,196291,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,prac_atten_color,197381,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,199383,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,199696,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
439.80000019073486,,prac_atten_color,200662,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,202662,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,203100,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,203600,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
29.300000190734863,,prac_atten_color_black,205601,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,206505,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
471.59999990463257,,prac_atten_color,207123,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,209125,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,209910,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
434.40000009536743,,prac_atten_color,210387,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,212390,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
5024.799999713898,,attentioncheck_feedback,217416,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29822.300000190735,,last_instruct,247239,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),250241,,black_plus_sign,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),250829,,blue,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
385.80000019073486,,rt_plussign_withcolor,251330,,blue,,,,49,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,252746,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,252848,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),255850,,black_plus_sign,,,,null,GW/huntsville.png,GW/peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),256432,,blue,,,,null,GW/huntsville.png,GW/peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
439.8999996185303,,rt_plussign_withcolor,256933,,blue,,,,49,GW/huntsville.png,GW/peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,258355,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,258457,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),261459,,black_plus_sign,,,,null,GW/newhope.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),262222,,yellow,,,,null,GW/newhope.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,262723,,yellow,,,,null,GW/newhope.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
731.1999998092651,,rt_thecrossant_black,263965,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,264067,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),267069,,black_plus_sign,,,,null,GW/leesburg.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),268170,,yellow,,,,null,GW/leesburg.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,268671,,yellow,,,,null,GW/leesburg.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
934.5999999046326,,rt_thecrossant_black,269582,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,269683,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),272684,,black_plus_sign,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),273513,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,274014,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
1434.5999999046326,,rt_thecrossant_black,275190,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,275291,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),278294,,black_plus_sign,,,,null,GW/huntsville.png,GW/peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),278965,,blue,,,,null,GW/huntsville.png,GW/peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,279466,,blue,,,,null,GW/huntsville.png,GW/peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
1046.7999997138977,,rt_thecrossant_black,280798,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,280900,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),283902,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),284755,,blue,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,285257,,blue,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
812.3000001907349,,rt_thecrossant_black,286406,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,286508,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),289510,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),290405,,yellow,,,,null,GW/westpalmbeach.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,290911,,yellow,,,,null,GW/westpalmbeach.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
991.5,,rt_thecrossant_black,292019,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,292120,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),295122,,black_plus_sign,,,,null,GW/shreveport.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),295726,,blue,,,,null,GW/shreveport.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
477.6000003814697,,rt_plussign_withcolor,296227,,blue,,,,49,GW/shreveport.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,297626,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,297727,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),300730,,black_plus_sign,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),301422,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
458.19999980926514,,rt_plussign_withcolor,301924,,blue,,,,49,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,303234,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,303336,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),306339,,black_plus_sign,,,,null,GW/racine.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),307078,,blue,,,,null,GW/racine.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
417.8999996185303,,rt_plussign_withcolor,307579,,blue,,,,49,GW/racine.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,308843,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,308945,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),311947,,black_plus_sign,,,,null,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),312364,,yellow,,,,null,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,312866,,yellow,,,,null,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
898.7999997138977,,rt_thecrossant_black,314453,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,314555,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),317557,,black_plus_sign,,,,null,GW/leesburg.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),318213,,yellow,,,,null,GW/leesburg.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
436.7000002861023,,rt_plussign_withcolor,318714,,yellow,,,,50,GW/leesburg.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,320061,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,320163,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),323165,,black_plus_sign,,,,null,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),324064,,yellow,,,,null,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
472.5,,rt_plussign_withcolor,324565,,yellow,,,,50,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,325669,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,325770,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),328772,,black_plus_sign,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),329825,,blue,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,330327,,blue,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
1014.0999999046326,,rt_thecrossant_black,331277,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,331380,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),334382,,black_plus_sign,,,,null,GW/racine.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),335215,,yellow,,,,null,GW/racine.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,335716,,yellow,,,,null,GW/racine.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
1167.2999997138977,,rt_thecrossant_black,336888,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,337002,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),340004,,black_plus_sign,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),340827,,yellow,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,341327,,yellow,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
955.1000003814697,,rt_thecrossant_black,342508,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,342615,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),345616,,black_plus_sign,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),346124,,yellow,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,346625,,yellow,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
955.5999999046326,,rt_thecrossant_black,348121,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,348222,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),351224,,black_plus_sign,,,,null,GW/hotsprings.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),352032,,blue,,,,null,GW/hotsprings.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,352533,,blue,,,,null,GW/hotsprings.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
729.7999997138977,,rt_thecrossant_black,353727,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,353831,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),356833,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),357886,,yellow,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,358388,,yellow,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
922.1999998092651,,rt_thecrossant_black,359340,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,359441,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),362442,,black_plus_sign,,,,null,GW/shreveport.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),363335,,yellow,,,,null,GW/shreveport.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
483.90000009536743,,rt_plussign_withcolor,363837,,yellow,,,,50,GW/shreveport.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,364947,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,365048,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),368050,,black_plus_sign,,,,null,GW/cornwall.png,GW/racine.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),369128,,blue,,,,null,GW/cornwall.png,GW/racine.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,369628,,blue,,,,null,GW/cornwall.png,GW/racine.png,,,,,,,,,,,,,,,,,,,,,,,,
1061,,rt_thecrossant_black,370554,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,370656,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),373657,,black_plus_sign,,,,null,GW/carmel.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),374132,,blue,,,,null,GW/carmel.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,374634,,blue,,,,null,GW/carmel.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,,
1337.4000000953674,,rt_thecrossant_black,376161,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,376263,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),379264,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),380089,,yellow,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
428.7999997138977,,rt_plussign_withcolor,380590,,yellow,,,,50,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,381769,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,381871,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),384873,,black_plus_sign,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),385936,,blue,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,386437,,blue,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
924.2000002861023,,rt_thecrossant_black,387379,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,387480,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),390482,,black_plus_sign,,,,null,GW/hotsprings.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),391146,,blue,,,,null,GW/hotsprings.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
440.19999980926514,,rt_plussign_withcolor,391647,,blue,,,,49,GW/hotsprings.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,392988,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,393089,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),396091,,black_plus_sign,,,,null,GW/newhope.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),396906,,yellow,,,,null,GW/newhope.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
464.90000009536743,,rt_plussign_withcolor,397407,,yellow,,,,50,GW/newhope.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,398595,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,398697,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),401699,,black_plus_sign,,,,null,GW/leesburg.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),402215,,blue,,,,null,GW/leesburg.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,402718,,blue,,,,null,GW/leesburg.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
971.9000000953674,,rt_thecrossant_black,404205,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,404306,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),407307,,black_plus_sign,,,,null,GW/cornwall.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),408352,,yellow,,,,null,GW/cornwall.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,408854,,yellow,,,,null,GW/cornwall.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
647.4000000953674,,rt_thecrossant_black,409812,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,409913,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),412915,,black_plus_sign,,,,null,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),413906,,blue,,,,null,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
458.90000009536743,,rt_plussign_withcolor,414407,,blue,,,,49,GW/racine.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,415420,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,415521,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),418524,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),419456,,blue,,,,null,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
412.6000003814697,,rt_plussign_withcolor,419960,,blue,,,,49,GW/westpalmbeach.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,421032,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,421133,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),424136,,black_plus_sign,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),424887,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
402,,rt_plussign_withcolor,425388,,blue,,,,49,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,426645,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,426747,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),429749,,black_plus_sign,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),430802,,blue,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
417.7000002861023,,rt_plussign_withcolor,431304,,blue,,,,49,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
